Study,Outcome,Data type,Effect measure,Domain (judgement): Bias arising from the randomization process,Domain (support): Bias arising from the randomization process,Domain (judgement): Bias due to deviations from intended interventions,Domain (support): Bias due to deviations from intended interventions,Domain (judgement): Bias due to missing outcome data,Domain (support): Bias due to missing outcome data,Domain (judgement): Bias in measurement of the outcome,Domain (support): Bias in measurement of the outcome,Domain (judgement): Bias in selection of the reported result,Domain (support): Bias in selection of the reported result,Domain (judgement): Overall bias,Domain (support): Overall bias
Hussain 2024,Drug-related problems_dichotomous,Arm level,,Low risk,"<p>Quote: ""We used computer-generated randomization sequences with participants being allocated to two groups; RTG (Routine treatment group) and MTG (Mobile treatment group).""<br>Comments: Although there was no detailed information, they used computer-generated randomization.&nbsp;<br>Comments: See Table 1.</p>",,,,,,,,,,
Hussain 2024,Drug-related problems_dichotomous End of study,Arm level,,Low risk,"<p>Quote: ""We used computer-generated randomization sequences with participants being allocated to two groups; RTG (Routine treatment group) and MTG (Mobile treatment group).""<br>Comments: Although there was no detailed information, they used computer-generated randomization.&nbsp;<br>Comments: See Table 1.</p>",Low risk,"<p>Quote: ""Blinding of the researchers responsible for analysis of results was ensured to prevent bias. ""<br>Comments: The intervention used a mobile app, and the participants, carers, and people delivering the interventions could understand which groups they were in.<br>Comments: No loss to follow-up, discontinuation and withdrawal (See Figure 2).<br>&nbsp;Comments: See Figure 2.</p>",Low risk,<p>Comments: See Figure 2 and Table 1 and 2.</p>,High risk,"<p>Quote: ""We collected SH and DKA information both directly from the study participant and from data extraction from the medical record.""<br>Comments: The number of measurements is unknown, but only the data recorded in the medical records are used. There does not appear to be an arbitrary difference between the two groups.<br>Comments: No mention of blinding.<br>Quote: We collected SH and DKA information both directly from the study participant and from data extraction from the medical record.&nbsp;<br>Comments: SH was included in self-reports.</p>",Low risk,"<p>Comments: Protocols cannot be identified, only study registries, and analysis methods are not clear.<br>Comments: Protocol not identified. Only study registration, and study registration was also after the start of the trial registration (2023/6/19). It is possible that the timing of outcome measurement was not determined in advance. Other endpoints exist for worsening diabetes complications. No specific information about outcomes in the protocol.<br>Comments: Protocol not identified. Only study enrollment, and study enrollment was also after the start of the trial registration (2023/6/18). It is possible that the timing of outcome measurement was not determined in advance. Only univariate analysis.</p>",High risk,"<p>The overall risk of bias was judged to be high. Although most domains were assessed as having a low risk of bias, the high risk of bias in Domain 4 (Bias in measurement of the outcome) significantly affects the credibility of the results.</p>"
Hussain 2024,Worsening of NCDs,Arm level,,Low risk,"<p>Quote: ""We used computer-generated randomization sequences with participants being allocated to two groups; RTG (Routine treatment group) and MTG (Mobile treatment group).""<br>Comments: Although there was no detailed information, they used computer-generated randomization.&nbsp;<br>Comments: See Table 1.</p>",,,,,,,,,,
Hussain 2024,Worsening of NCDs End of study,Arm level,,Low risk,"<p>Quote: ""We used computer-generated randomization sequences with participants being allocated to two groups; RTG (Routine treatment group) and MTG (Mobile treatment group).""<br>Comments: Although there was no detailed information, they used computer-generated randomization.&nbsp;<br>Comments: See Table 1.</p>",Low risk,"<p>Quote: ""Blinding of the researchers responsible for analysis of results was ensured to prevent bias. ""<br>Comments: The intervention used a mobile app, and the participants, carers, and people delivering the interventions could understand which groups they were in.<br>Comments: No loss to follow-up, discontinuation and withdrawal (See Figure 2).<br>&nbsp;Comments: See Figure 2.</p>",Low risk,<p>Comments: See Figure 2 and Table 1 and 2.</p>,Low risk,"<p>Quote: ""We collected SH and DKA information both directly from the study participant and from data extraction from the medical record.""<br>Comments: The number of measurements is unknown, but only the data recorded in the medical records are used. There does not appear to be an arbitrary difference between the two groups.<br>Comments: No mention of blinding.<br>Comments: To include the objective factor of hospitalisation.<br>Quote: ""We collected SH and DKA information both directly from the study participant and from data extraction from the medical record."", ""For DKA events, we required overnight hospitalization to ensure a correct diagnosis.""</p>",Low risk,"<p>Comments: Protocols cannot be identified, only study registries, and analysis methods are not clear.<br>Comments: Protocol not identified. Only study registration, and study registration was also after the start of the trial registration (2023/6/18). It is possible that the timing of outcome measurement was not determined in advance. Other endpoints exist for worsening diabetes complications. No specific information about outcomes in the protocol.&nbsp;<br>Comments: Protocol not identified. Only study enrollment, and study enrollment was also after the start of the trial registration (2023/6/18). It is possible that the timing of outcome measurement was not determined in advance. Only univariate analysis.</p>",Low risk,"<p>The overall risk of bias was judged to be low, as all five domains were assessed as being at low risk of bias.</p>"
Ibrahim 2022,Clinical measurements: diastolic blood pressure,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Clinical measurements: diastolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",Some concerns,"<p>Quote: ""All participants who met eligibility criteria and agreed to participate were provided written informed consent (manually or electronically signed). Each pharmacist generated an excel sheet (Microsoft Corp, Redmond, WA) containing code names and mobile number of participants.""<br>Comments: This study did not provide information that the deviations from the intended intervention.&nbsp;<br>Comments: The number of people listed for an analysis is less than the assignment in Fig 1. As the analysis was performed as ""per-protocol"".<br>Comments: Less than 5% in both groups were considered.</p>",Low risk,<p>Comments: Missing data is less than 5% in both groups.</p>,Low risk,<p>Comments: SBP and DBP are objective indicators and are not subject to the assessor's subjectivity.<br>Comments: Measurement or ascertainment appears to have been done the same way for all participants.<br>Comments: the assessors know which patients are being intervened with because of the nature of the study. The assessor is not blinded.<br>Comments: Blood pressure is an objective indicator.&nbsp;</p>,Low risk,"<p>Comments: NCT05488002 does not describe the analysis method. However, the outcomes were a priori set and only univariate analyses were performed, not to conduct arbitrarily multivariate analyses.<br>Comments: NCT05488002 states that outcomes are measured ""up to 3 months"", but in fact they are measured for up to 12 months. However, for the measurement of blood pressure, there is only one way to measure the indicator being measured.<br>Comments: The method of analysis is unclear, but only univariate analysis was used and not adjusted for arbitrary factors. The indicators were predetermined.</p>",Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>While most domains were rated as low risk, some concerns arose in relation to deviations from intended interventions, mainly due to insufficient details on blinding procedures or participant adherence. In the absence of any domains rated as high risk, the overall assessment was classified as “some concerns.”</p>"
Ibrahim 2022,Clinical measurements: systolic blood pressure,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Clinical measurements: systolic blood pressure End of study,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",Some concerns,"<p>Quote: ""All participants who met eligibility criteria and agreed to participate were provided written informed consent (manually or electronically signed). Each pharmacist generated an excel sheet (Microsoft Corp, Redmond, WA) containing code names and mobile number of participants.""<br>Comments: This study did not provide information that the deviations from the intended intervention.<br>Comments: The number of people listed for an analysis is less than the assignment in Fig 1. As the analysis was performed as ""per-protocol"".<br>Comments: Less than 5% in both groups were considered.</p>",Low risk,<p>Comments: Missing data is less than 5% in both groups.</p>,Low risk,<p>Comments: SBP and DBP are objective indicators and are not subject to the assessor's subjectivity.<br>Comments: Measurement or ascertainment appears to have been done the same way for all participants.<br>Comments: the assessors know which patients are being intervened with because of the nature of the study. The assessor is not blinded.<br>Comments: Blood pressure is an objective indicator.&nbsp;</p>,Low risk,"<p>Comments: NCT05488002 does not describe the analysis method. However, the outcomes were a priori set and only univariate analyses were performed, not to conduct arbitrarily multivariate analyses.<br>Comments: NCT05488002 states that outcomes are measured ""up to 3 months"", but in fact they are measured for up to 12 months. However, for the measurement of blood pressure, there is only one way to measure the indicator being measured.<br>Comments: The method of analysis is unclear, but only univariate analysis was used and not adjusted for arbitrary factors. The indicators were predetermined.</p>",Some concerns,"<p>The overall risk of bias was judged to be of some concerns.<br>Most domains were assessed as low risk; however, there were some concerns regarding deviations from intended interventions, particularly due to limited information on blinding or adherence. As no domains were rated high risk, the overall judgment was downgraded to “some concerns.”</p>"
Ibrahim 2022,Drug-related problems_dichotomous End of study,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",Some concerns,"<p>Quote: ""All participants who met eligibility criteria and agreed to participate were provided written informed consent (manually or electronically signed). Each pharmacist generated an excel sheet (Microsoft Corp, Redmond, WA) containing code names and mobile number of participants.""<br>Comments: This study did not provide information that the deviations from the intended intervention.&nbsp;<br>Comments: The number of people listed for an analysis is less than the assignment in Fig 1. As the analysis was performed as ""per-protocol"".<br>Comments: Less than 5% in both groups were considered.</p>",Low risk,<p>Comments: Missing data is less than 5% in both groups.</p>,High risk,"<p>Comments: As there are several indicators against which DRPs can be measured, and as there may be some subjectivity in the pharmacists who assess and report.<br>Quote: ""The rate of DRPs was calculated by dividing the overall number of DRPs detected by the total number of drugs received by participants during the study period. The types of DRPs was adopted from AbuRuz et al., which classify DRPs into seven major categories including unnecessary drug, the need for adding new drug, safety risk, efficacy-related issues, poor knowledge, dosing issues, allergy, and drug-drug interactions.""<br>Comments: The criteria are set and evaluated the same way in both groups.</p>",Low risk,"<p>Comments: DRP indicators have been assessed in accordance with NCT05488002, but the method of analysis is not clearly described.&nbsp;<br>Comments: The method of analysis is unclear, but only univariate analysis was used and not adjusted for arbitrary factors. The indicators were predetermined.<br>Comments: The method of analysis is unclear, but only univariate analysis was used and not adjusted for arbitrary factors. The indicators were predetermined.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although the randomisation process, handling of missing data, and selection of reported results were considered at low risk, there were some concerns regarding deviations from intended interventions. The risk of bias for outcome measurement was judged to be high due to lack of blinding and the subjective nature of the outcomes. Given the high risk in a critical domain, the overall risk of bias was rated as high.</p>"
Ibrahim 2022,Medication adherence,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Medication adherence 12 months,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Medication adherence 3 months,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Medication adherence 6 months,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Medication adherence 9 months,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",,,,,,,,,,
Ibrahim 2022,Medication adherence End of study,Arm level,,Low risk,"<p>Quote: ""After recruitment, participants were randomly allocated to two groups (intervention and control) using the random number generator in SPSS version 26. While the research team knew participants only by code names during allocation, the process was completely concealed from the pharmacists.""<br>Quote: ""There were no statistically significant difference in baseline characteristics across the study groups""</p>",Some concerns,"<p>Quote: ""All participants who met eligibility criteria and agreed to participate were provided written informed consent (manually or electronically signed). Each pharmacist generated an excel sheet (Microsoft Corp, Redmond, WA) containing code names and mobile number of participants.""<br>Comments: This study did not provide information that the deviations from the intended intervention.&nbsp;<br>Comments: The number of people listed for an analysis is less than the assignment in Fig 1. As the analysis was performed as ""per-protocol"".<br>Comments: Less than 5% in both groups were considered.</p>",Low risk,<p>Comments: Missing data is less than 5% in both groups.</p>,High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: Measurement or ascertainment appears to have been done the same way for all participants.<br>Comments: As the MMAS-8 is a self-report measure, the assessor is the patient him/herself.&nbsp;<br>Comments: domain4.4; As the MMAS-8 is a self-report measure. Domain 4.5; understanding the intervention may have influenced the outcome.</p>",High risk,"<p>Comments: Checking NCT05488002, it states that medication adherence is measured by ""The Medication Adherence Reasons Scale (MAR-Scale)"". However, the paper uses a different measure, the MMAS-8. The indicator is different from that used in the clinical registry.<br>Comments: The indicator is different from that used in the clinical registry. Indicators may have been changed arbitrarily.&nbsp;<br>Comments: The indicator is different from that used in the clinical registry. Indicators may have been changed arbitrarily.&nbsp;</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although the randomisation process and handling of missing data were appropriate, there were some concerns regarding deviations from intended interventions. The study was at high risk of bias for outcome measurement due to lack of blinding and the use of subjective outcomes, and for selection of the reported result due to insufficient transparency in reporting. These high-risk domains contributed to the overall judgment.</p>"
Ihekoronye 2024,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Some concerns,"<p>Quote: ""A statistician was engaged to generate a computer algorithm (written in SAS® [Cary, NC]) to randomly assign participants to the two study arms using randomly selected block sizes of 4, 8, and 12. The block randomization technique was used to allocate participants to one of two fairly equal groups.""<br>Comments: See Table 1. The age of the intervention groups was younger than the control group, and that might influence the outcomes.</p>",Some concerns,<p>Quote: The participants were also represented by codes and their phone numbers linked to these codes such that researchers and participants were blind to their identities and groupings.<br>Comments: Both group numbers drop by less than 5%<br>Comments: per-protocol analysis.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>,Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,Low risk,<p>Comments: The measurement points are fixed. General test values.<br>Comments: The measurement points are fixed. General test values.<br>Quote: The participants were also represented by codes and their phone numbers linked to these codes such that researchers and participants were blind to their identities and groupings.</p>,Low risk,"<p>Comments: Protocols cannot be identified, only study registries, and analysis methods are not clear.<br>Comments: Protocol not identified. Only study registration. Study registration was carried out prior to the start of the study. It is common to use HbA1c as an outcome for diabetes.<br>Comments: Only study registration information, no prior protocol. But univariate analysis only.</p>",Some concerns,"<p>The overall risk of bias was judged to be of some concern.<br>This judgment reflects some concerns arising from bias due to the randomization process and deviations from intended interventions, while all other domains were judged to be at low risk of bias.</p>"
Ihekoronye 2024,Medication adherence,Arm level,,Some concerns,"<p>Quote: ""A statistician was engaged to generate a computer algorithm (written in SAS® [Cary, NC]) to randomly assign participants to the two study arms using randomly selected block sizes of 4, 8, and 12. The block randomization technique was used to allocate participants to one of two fairly equal groups.""<br>Comments: See Table 1. The age of the intervention groups was younger than the control group, and that might influence the outcomes.</p>",,,,,,,,,,
Ihekoronye 2024,Medication adherence 6 months,Arm level,,Some concerns,"<p>Quote: ""A statistician was engaged to generate a computer algorithm (written in SAS® [Cary, NC]) to randomly assign participants to the two study arms using randomly selected block sizes of 4, 8, and 12. The block randomization technique was used to allocate participants to one of two fairly equal groups.""<br>Comments: See Table 1. The age of the intervention groups was younger than the control group, and that might influence the outcomes.</p>",,,,,,,,,,
Ihekoronye 2024,Medication adherence End of study,Arm level,,Some concerns,"<p>Quote: ""A statistician was engaged to generate a computer algorithm (written in SAS® [Cary, NC]) to randomly assign participants to the two study arms using randomly selected block sizes of 4, 8, and 12. The block randomization technique was used to allocate participants to one of two fairly equal groups.""<br>Comments: See Table 1. The age of the intervention groups was younger than the control group, and that might influence the outcomes.</p>",Some concerns,"<p>Quote: ""The participants were also represented by codes and their phone numbers linked to these codes such that researchers and participants were blind to their identities and groupings.""<br>Comments: Both group numbers drop by less than 5%.<br>Comments: per-protocl analysis.<br>Comments: The number of people excluded from the analysis is less than 5% after randomisation.</p>",Low risk,<p>Comments: The total number of people excluded from the analysis or dropped out is less than 5% after randomisation.</p>,High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed. General test values.<br>Quote: The participants were also represented by codes and their phone numbers linked to these codes such that researchers and participants were blind to their identities and groupings.<br>Comments: However, the participants might understand their administration.<br>Comments: The participants might understand their administration and it is a self-reported outcome. Also, adherence might be influenced by knowledge of intervention received.</p>",High risk,"<p>Comments: Protocols cannot be identified, only study registries, and analysis methods are not clear.<br>Comments: There are existed the indicators of medication adherence scales or scores in the world. Protocol not identified. Only study registration.&nbsp;<br>Comments: Only study registration information, no prior protocol. But univariate analysis only.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>This judgement was driven primarily by a high risk of bias in Domain 4 (bias due to deviations from intended interventions) and Domain 5 (bias in selection of the reported result), along with some concerns in Domains 1 and 2.</p>"
Kosse 2019,Clinical measurements: asthma control,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",,,,,,,,,,
Kosse 2019,Clinical measurements: asthma control End of study,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",Some concerns,"<p>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comment: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group.<br>Comments: See Fig. 1. per-protocol.<br>Comments: The proportion of exclusions is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 5% in intervention groups.<br>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 6% in intervention groups.<br>Quote: ""A generalized linear mixed-effects model was used for the binomial variables.""</p>",High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: self-reported medication adherence<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""</p>",Low risk,"<p>Comments: The analysis method was not described in the protocol. However, the timing of measurement (baseline and end of follow-up) was clear.<br>Comments: The CARAT described in the protocol is used. Results were presented at the same measurement time as other outcomes.<br>Comments: Although the protocol does not state a priori the method of analysis, no arbitrary analysis was performed.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>Although some domains were rated as low risk or with some concerns, there was a high risk of bias in Domain 4 (bias in measurement of the outcome), along with concerns related to the randomization process and deviations from intended interventions (Domains 1 and 2), which may compromise the validity of the results.<br>Domain 1b judgement: High. Domain 1b Support: Cluster units invited participants after randomization.</p>"
Kosse 2019,Medication adherence,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",,,,,,,,,,
Kosse 2019,Medication adherence 6 months,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",,,,,,,,,,
Kosse 2019,Medication adherence End of study,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",Some concerns,"<p>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comment: The study did not provide information on deviations from the intended intervention. It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more drop-outs in the control group.<br>Comments: See Fig. 1. per-protocol.<br>Comments: The proportion of exclusions is similar in both groups (Fig. 1).</p>",Low risk,"<p>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 5% in intervention groups.<br>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 5% in intervention groups.<br>Quote: ""A generalized linear mixed-effects model was used for the binomial variables.""</p>",High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: self-reported medication adherence<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""</p>",Low risk,"<p>Comments: The analysis method was not described in the protocol. However, the timing of measurement (baseline and end of follow-up) was clear.<br>Comments: The adherence score described in the protocol is used. Results were presented at the same measurement time as other outcomes.<br>Comments: Although the protocol does not state a priori the method of analysis, no arbitrary analysis was performed.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>While some domains were rated as low risk or with some concerns, there was a high risk of bias in Domain 4 (bias in measurement of the outcome), and potential issues in the randomization process and deviations from intended interventions (Domains 1 and 2).&nbsp;<br>Domain 1b judgement: High. Domain 1b Support: Cluster units inviting participant after randomization.</p>"
Kosse 2019,Patients’ quality of life,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",,,,,,,,,,
Kosse 2019,Patients’ quality of life End of study,Arm level,,Some concerns,"<p>Quote: ""Effectiveness of the ADAPT intervention is studied in a community pharmacy-based cluster randomized controlled trial. Community pharmacies affiliated with the Utrecht Pharmacy Practice network for Education and Research (UPPER) are approached to participate in the study.""<br>Comments: No description of the allocation method, but it is not a non-random method.<br>Comments: See Fig. 1.</p>",Some concerns,"<p>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comments: Due to the nature of the study, participants know they are participating in a study.<br>Comment: The study did not provide information on deviations from the intended intervention."" It is unclear whether participants feel ""clearly"" the intervention group is better (while they think the intervention is better, they may also be bothered by the many interventions coming in), but there are also not ""clearly"" more Drop-outs in the Control group.<br>Comments: See Fig 3. per-protocol.<br>Comments: The proportion of exclude is similar in both groups (Fig 1).</p>",Low risk,"<p>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 5% in intervention groups.<br>Comments: After randomization and consent, the number of people for whom outcomes could be measured at the time of analysis was 87/95 (91%) in the intervention group and 147/148 (99%) in the control group, with missing values exceeding 7% in intervention groups.<br>Quote: ""A generalized linear mixed-effects model was used for the binomial variables.""</p>",High risk,"<p>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: The measurement points are fixed. Indicators used worldwide.<br>Comments: self-reported medication adherence<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""<br>Quote: ""Due to the nature of the intervention, blinding of group assignments was impossible for both patients and pharmacists.""</p>",Low risk,"<p>Comments: The analysis method was not described in the protocol. However, the timing of measurement (baseline and end of follow-up) was clear.<br>Comments: The PAQLQ described in the protocol is used. Results were presented at the same measurement time as other outcomes.<br>Comments: Although the protocol does not state a priori the method of analysis, no arbitrary analysis was performed.</p>",High risk,"<p>The overall risk of bias was judged to be high.<br>This includes a high risk of bias in Domain 4 (bias in measurement of the outcome), as well as concerns in Domains 1 and 2 related to the randomization process and deviations from intended interventions, which could undermine the reliability of the study findings.&nbsp;<br>Domain 1b judgement: High. Domain 1b Support: Cluster units invited participants after randomization.</p>"
Lauffenburger 2019,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Low risk,"<p>Quote: ""Subjects were randomized by Horizon in a 1:1 ratio to the intervention or usual care group using a random number generator.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",Low risk,"<p>Quote: ""Study subjects and pharmacists interacting with patients were not blinded to group assignment.""<br>Quote: ""Study investigators and data analysts remained blinded until all follow-up data were obtained, and the analyses were finalized.""<br>Quote: ""For the analyses, we used intention-to-treat principles for all randomized patients, i.e.,<br>regardless of whether patients actually received the intervention.""</p>",Low risk,"<p>Quote: ""The HbA1c result recorded closest to the end of the 12-month follow-up was used. As expected with the use of routinely-collected data, clinical HbA1c data was missing for some (28.6%) patients, including 28.7% in the usual care arm and 28.5% in the intervention arm.""<br>Quote: ""Accordingly, we used multiple imputation to handle the missing data.""</p>",Low risk,"<p>Comments: HbA1c is the most common observational data to evaluate diabetes.<br>Comments: The same measurements are used for all participants.&nbsp;<br>Quote: ""Study investigators and data analysts remained blinded until all follow-up data were obtained, and the analyses were finalized.""</p>",Low risk,<p>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.<br>Comments: Analysis methods are reported in the protocol in advance.</p>,Low risk,"<p>The overall risk of bias was judged to be low.<br>Each domain, including those concerning randomisation, adherence to interventions, completeness of outcome data, outcome assessment, and reporting, was assessed as low risk. No sources of potential bias were identified that would be likely to influence the study findings.</p>"
Lauffenburger 2019,Medication adherence,Arm level,,Low risk,"<p>Quote: ""Subjects were randomized by Horizon in a 1:1 ratio to the intervention or usual care group using a random number generator.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
Lauffenburger 2019,Medication adherence 12 months,Arm level,,Low risk,"<p>Quote: ""Subjects were randomized by Horizon in a 1:1 ratio to the intervention or usual care group using a random number generator.""<br>Comments: This study showed that baseline characteristics were not different between the two groups.&nbsp;</p>",,,,,,,,,,
