Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of outcome assessment (detection bias),Domain (support): Blinding of outcome assessment (detection bias),Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Recruitment bias,Domain (support): Recruitment bias,Domain (judgement): Baseline imbalance in outcome measurements or characteristics,Domain (support): Baseline imbalance in outcome measurements or characteristics,Domain (judgement): Protection against contamination,Domain (support): Protection against contamination,Domain (judgement): Incorrect analysis,Domain (support): Incorrect analysis,Domain (judgement): Risk of bias overall,Domain (support): Risk of bias overall
Eltayeb 2005,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Not enough information</p>,Low risk,<p>See Table 2</p>,Low risk,<p>Health centres separate</p>,High risk,<p>Did not account for clustering</p>,High risk,<p>Due to incorrect analysis</p>
Estrada 2011,Unclear risk,<p>Method for sequence generation is not described.</p>,Low risk,<p>Physicians were randomised and allocated upon enrolment (visiting the website) and this was also concealed from investigators and statisticians.</p>,Low risk,<p>Physicians were masked to the arms of the trial and data abstraction of patient records was done blinded to allocation.</p>,Low risk,<p>Missing outcome data at follow-up appear balanced with reasons in the two arms and do not seem related to the intervention and outcomes.</p>,High risk,"<p>The secondary outcomes from the trial registration are different to the secondary outcomes described in this publication. The primary outcomes in the trial registration were also not defined, so it is unclear when the specific definition of each primary outcome was made.</p>",High risk,"<p>The non-random sampling of physicians may have introduced selection bias. Second, physicians were asked to provide records of consecutively seen patients, and while we were unable to monitor compliance with this request, the wide range of A1c, BP and LDL values suggests that not only well-controlled patients were selected, but poorly-controlled patients as well.</p>",Low risk,"<p>A few baseline imbalances were noted, but analysis was conducted adjusting for baseline covariates that differed.</p>",Low risk,"<p>Due to the cluster design of the study, only one physician from each practice participated in the trial, so there is little risk of control physicians receiving the intervention.</p>",Low risk,<p>Clustering was taken into account during analysis.</p>,High risk,<p>Due to selective outcome reporting and recruitment bias</p>
Everett 1983,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>No recruitment after randomisation</p>,High risk,<p>See Table 1</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Student's t-test</p>,High risk,<p>Due to incorrect analysis and baseline imbalance</p>
Fabbri 2019,Low risk,<p>Computer-generated random sequence</p>,Low risk,"<p>As per flow chart, it is likely that allocation was done centrally at one time.</p>",Low risk,"<p>Fieldworkers  who collected data were masked to the group allocations of  the  clusters,  and  they  operated  independently  of  the  team who were involved in the delivery of the report card intervention.</p>",Low risk,<p>No loss of clusters; missing outcome data are balanced with reasons reported. ITT analysis used</p>,Unclear risk,<p>No protocol or trial registration; unclear reporting</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,"<p>The characteristics of women in the four treatment groups and in pairs of intervention groups at baseline are shown in table 1. Participants in the four groups were similar in age, caste, religion, and wealth. There were small differences in educational attainment and residence between groups. Across the groups, women also had similar maternal and neonatal health coverage indicators.<br><br>No important baseline differences between groups</p>",Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Low risk,<p>Clustering was taken into account in analysis.</p>,Low risk,<p>Low risk across all important domains</p>
Fairbrother 1999,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Only one dropout</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",High risk,<p>Rates of immunisation differ.</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Logistic and linear regression and standard errors to correct for clustering</p>,High risk,<p>Due to baseline imbalances</p>
Feder 1995a,Unclear risk,"<p>Study authors say that practices were stratified by a number of factors and then randomised, but no information is provided on how the random sequence was generated or how the process was conducted.</p>",Unclear risk,<p>No information is provided on how practices were allocated to their respective treatment groups.</p>,Low risk,<p>No information is provided regarding blinding of the outcome assessors. Outcome data were obtained from the clinical records of a random sample of patients from each of the practices.</p>,Low risk,<p>None of the 24 practices were lost to follow-up after randomisation.</p>,Unclear risk,"<p>Outcomes reported as per methods, but no protocol means it is unclear if all preplanned outcomes have been reported.</p>",Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,"<p>As per table 1 p. 1474, the groups were fairly evenly balanced across a number of factors.</p>",Low risk,"<p>While two practices were registered as single-handed practices, this was due to the other partner not participating in the trial, so those partners would not have an effect on the trial and outcomes. It appears the trial kept track of all practice clinicians, so unlikely they would have worked across multiple sites.</p>",Unclear risk,<p>Not enough information</p>,Unclear risk,<p>Unclear risk across important domains</p>
Feder 1995b,Unclear risk,"<p>Study authors say that practices were stratified by a number of factors and then randomised, but no information is provided on how the random sequence was generated or how the process was conducted.</p>",Unclear risk,<p>No information is provided on how practices were allocated to their respective treatment groups.</p>,Low risk,<p>No information is provided regarding blinding of the outcome assessors. Outcome data were obtained from the clinical records of a random sample of patients from each of the practices.</p>,Low risk,<p>None of the 24 practices were lost to follow-up after randomisation.</p>,Unclear risk,"<p>Outcomes reported as per methods, but no protocol means it is unclear if all preplanned outcomes have been reported.</p>",Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,"<p>As per table 1 p. 1474, the groups were fairly evenly balanced across a number of factors.</p>",Low risk,"<p>While two practices were registered as single-handed practices, this was due to the other partner not participating in the trial, so those partners would not have an effect on the trial and outcomes. It appears the trial kept track of all practice clinicians, so unlikely they would have worked across multiple sites.</p>",Unclear risk,<p>Not enough information</p>,Unclear risk,<p>Unclear risk across important domains</p>
Ferguson 2003a,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Participants unaware</p>,Low risk,<p>Roughly equal dropouts in 3 groups</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters; hence, there is low risk of recruitment bias.</p>",Low risk,<p>Demographics similar in 3 groups</p>,Low risk,<p>Separate hospitals</p>,Low risk,<p>Hierarchical logistic regression with random effects to account for clustering</p>,Low risk,<p>Low risk across all important domains</p>
Ferguson 2003b,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Participants unaware</p>,Low risk,<p>Roughly equal dropouts in 3 groups</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters; hence, there is low risk of recruitment bias.</p>",Low risk,<p>Demographics similar in 3 groups</p>,Low risk,<p>Separate hospitals</p>,Low risk,<p>Hierarchical logistic regression with random effects to account for clustering</p>,Low risk,<p>Low risk across all important domains</p>
Fiks 2013,High risk,<p>A statistician (Dr Localio) generated the allocation sequence and implemented the randomisation. Actual randomisation process not described</p>,Low risk,<p>Allocation done centrally as it was done by a statistician.</p>,Low risk,"<p>While participants were not blind to their allocation, the recording of vaccination is objective and unlikely to be biased from knowledge of intervention.</p>",Low risk,<p>No practices were lost to follow-up. Balanced losses to follow-up in patient participants.</p>,Unclear risk,"<p>All specified outcomes are reported; however, vaccination rates were not specifically reported for each arm and only reported as hazard ratios (with two arms compared).</p>",Low risk,<p>All eligible patients included in study after clusters randomised to allocated intervention</p>,Low risk,<p>No baseline imbalances detected</p>,Low risk,"<p>Practices randomised, and unlikely contamination between groups</p>",Low risk,"<p>The study used ""Cox proportional hazard regression models accounting for the clustered design and including covariates"". No issues detected with cluster analysis</p>",High risk,<p>Due to random sequence generation</p>
Fiks 2017,Low risk,<p>Random sequence was generated by a statistician.</p>,Low risk,"<p>Statistician performed randomisation, so allocation was likely central. Based on study flow diagram, it is likely clusters were allocated at the same time.</p>",High risk,"<p>Assessors were not blinded and performed a manual chart review - bias could have affected outcomes reported. Consensus of reporting was necessary, implying some subjective judgements.</p>",Low risk,<p>No loss of practitioners reported. Numbers reported in results consistent with those randomised</p>,Unclear risk,<p>No protocol available to see if all preplanned outcomes were reported</p>,Low risk,<p>Recruitment occurred after randomisation.</p>,Low risk,"<p>Groups mostly balanced, and imbalances controlled for in analysis</p>",Low risk,<p>Allocation by cluster (e.g. practice) and it is unlikely that the control group received the intervention.</p>,Low risk,"<p>Results were also described by practice. To control for differences in patient and clinician covariates between study arms, we used&nbsp;separate logistic regression models for each outcome, with independent variables including study arm, time period (baseline versus intervention), and an interaction between study arm and time period. Models were adjusted for covariates as provider type. Statistical Analysis: The study population was described using means and standard deviations (SD) for continuous variables and frequencies with proportions for categorical variables. To evaluate the effect of the intervention on EBPs for ADHD, we calculated the proportion of patients in both study arms with parent and teacher rating scales sent and received during the baseline and intervention periods. We then calculated the percentage point change between periods within each arm, and the difference-in-difference between arms.&nbsp;</p>",High risk,<p>Due to blinding</p>
Filardo 2009,Unclear risk,<p>Unable to assess</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>2 of 47 hospitals dropped out.</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence there is low risk of recruitment bias.</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate hospitals</p>,Low risk,<p>Clustering accounted for in analysis</p>,Unclear risk,<p>Unclear risk across important domains</p>
Finkelstein 2001,Unclear risk,<p>No information about how the randomisation was done</p>,Unclear risk,<p>No details or study flow diagram to determine if clusters were likely allocated at the same time</p>,Low risk,<p>Knowledge of allocation would not influence the outcome data which were collected from claims data.</p>,Low risk,<p>All 12 practices that were randomised were also included in analysis.</p>,Unclear risk,<p>Outcomes reported as prespecified in methods but no protocol available</p>,Low risk,<p>Recruitment occurred before randomisation.</p>,Low risk,<p>Used pair-matched randomisation. Baseline differences accounted for in analysis</p>,Low risk,"<p>Hard to guess. Parents got educational materials, which might have been shared around. Physicians who got intervention might communicate with those who didn't. But risk of both seems low, so my guess would be that any significant contamination was unlikely.</p>",Low risk,<p>Clustering accounted for</p>,Unclear risk,<p>Unclear risk across important domains</p>
Foster 2007,Low risk,<p>Random number allocation</p>,Low risk,<p>Central randomisation</p>,Unclear risk,<p>Unable to assess</p>,High risk,<p>Lost half of intervention group</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Practices separate</p>,Unclear risk,<p>Says clustering taken into account with analysis of covariance but few details were given</p>,High risk,<p>Due to incomplete outcome data</p>
Foy 2004,Low risk,<p>Randomised pairs by independent statistician</p>,Low risk,"<p>Cluster trial, allocation after recruitment completed</p>",Unclear risk,<p>Unable to assess</p>,Low risk,"<p>1 unit with no cases, otherwise complete data</p>",Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of recruitment after randomisation</p>,Low risk,<p>See Table 1</p>,Low risk,<p>Separate hospitals</p>,Low risk,<p>Generalised estimating equations</p>,Low risk,<p>Low risk across all important domains</p>
Fretheim 2006,Low risk,<p>Random sequence was generated from computer software.</p>,Low risk,"<p>Allocation was concealed and provided by one central person. Authors ""gave her identification numbers representing each recruited practice, and she informed us whether the practice was allocated to the intervention or control group.""</p>",Low risk,<p>Investigators assessing outcomes and conducting analyses were blinded to the allocation of practices (p. 4).</p>,Low risk,"<p>3/73 and 4/73 practices in the intervention and control arm, respectively, were lost to follow-up for similar reasons. Response rate from patient questionnaires is similar between groups.</p>",Low risk,<p>All prespecified outcomes reported</p>,Low risk,<p>No clusters recruited after allocation. Patients were included on the basis of their eligibility for each outcome (data abstracted from medical records by blind investigators) and not actively recruited.</p>,Unclear risk,"<p>The trialists reported that ""the practices and patients in the intervention and control groups were similar with regards to baseline characteristics"", however, only one baseline characteristic was measured for health professionals and two baseline characteristics measured for patients. These do not appear to be enough to determine if there were baseline imbalances or not.</p>",Low risk,"<p>""We decided that randomizing practices rather than physicians or patients would be the most feasible design for practical reasons, and also the most appropriate to avoid contamination from the intervention to the control group."" (p. 2). Assuming that physicians did not work in more than one practice, the risk of bias is low.</p>",Low risk,<p>Data were adjusted for baseline differences and clustering effects.</p>,Low risk,<p>Unclear based on baseline imbalances and protection against contamination</p>
Frijling 2002,Low risk,"<p>Random number generator, blocks of 4</p>",Low risk,"<p>Quote ""person responsible for the randomization process was blind to identities"".</p>",High risk,<p>Physician report data</p>,Low risk,<p>3 practices lost to follow-up</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",Low risk,<p>Table 1</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Multilevel logistic regression</p>,High risk,<p>Due to blinding</p>
Frijling 2003,Low risk,"<p>Quote ""randomly allocated...random number generator""</p>",Low risk,"<p>Quote ""person responsible for the randomization process was blind to identities"".</p>",High risk,<p>Physician report data</p>,Low risk,<p>3 of 124 practices dropped out</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",Low risk,<p>See Table 1</p>,Low risk,<p>Separate practices</p>,Low risk,<p>Multilevel logistic regression</p>,High risk,<p>Due to blinding</p>
Fuller 2012,Low risk,<p>Random sequence was generated from computer software.</p>,Low risk,<p>Clusters were allocated at the same time.</p>,Low risk,<p>Hand hygiene was measured by covert direct observation by an observer blinded to ward allocation or randomisation of the intervention.</p>,Low risk,"<p>60 study wards in the 16 randomised hospitals, of which 33 (22 ACE and 11 ITU) in 13 hospitals went on to implement the intervention.<br>Eight wards began implementation very late, and for these the end of the trial was extended to December 31st 2009 to ensure that they had a year of data collection post-implementation.<br>Intention-to-treat analysis was conducted for the 60 wards randomised into the intervention, and per-protocol analysis was performed for the 33 implementing wards.</p>",Low risk,"<p>""There was a predefined protocol (www.idrn.org/nosec.php) which was followed except for three violations. Firstly, it was not possible to perform the MRSA prevalence screening. Secondly, a questionnaire measuring ward culture was filled out by so few nurses that this was dropped from the protocol. Thirdly, delayed Research and Development registration shortened the baseline pre-randomisation phase from twelve months to nine in the first hospitals randomised to the intervention. Both the protocol and supporting CONSORT checklist are available as supporting information: see Protocol S1 and Checklist S1).""</p>",Low risk,"<p>Hospitals were recruited and then randomised to enter the intervention, so low risk of recruitment bias</p>",Low risk,"<p>In the stepped-wedge design, participating wards act as their own control, so risk of bias due to baseline imbalance is low.</p>",Low risk,<p>Risk of bias due to contamination was minimised due to clustering and hospitals were only aware of their own time of randomisation into the intervention.</p>,Low risk,"<p>Generalised linear mixed (multilevel) models were used to analyse the data. The model takes into account the hierarchical nature of the design (measurements nested within hospitals, and, if appropriate, hospitals within trusts).</p>",Low risk,<p>Average of all 'other' biases</p>
Ganz 2005,Unclear risk,<p>Method of random sequence generation is not reported.</p>,Low risk,<p>Clusters were allocated at the same time.</p>,Low risk,"<p>Unclear if abstractors were blind, but outcomes were abstracted from audit of medical charts (and discrete options), and abstractors were trained and ""Over-reads were done for each reviewer until there was a 100% match between reviewer and research staff chart review forms"". Unlikely that bias was introduced in outcome assessment</p>",Low risk,"<p>2/19 POs in the intervention group and 1/17 POs in the control group dissolved (balanced and unlikely to be due to the intervention and outcome). 1/19 PO in the intervention group refused chart review. There is no further explanation, but it does not appear to be substantial enough to introduce bias (5% of POs) in the outcome data.</p>",Low risk,<p>All expected outcomes included in the methods were reported: patient and PO characteristics; rate of CRC with any test; rate of ever had test within guidelines; comparison of rates between intervention and control; logistic regression model</p>,Low risk,<p>There is no evidence of recruitment after randomisation and allocation.</p>,High risk,<p>There were some significant baseline imbalances between groups in sampled patients and potentially some differences in mean number of PCPs in POs.</p>,Unclear risk,<p>Unclear if there was potential for staff in POs to be involved with more than one PO</p>,High risk,"<p>The analyses for most outcomes, including comparisons of the rate of testing in intervention and control POs do not account for clustering of the data except for in the logistic regression - in which data that account for clustering are not shown.</p>",High risk,<p>Baseline imbalance and incorrect analysis judged as high risk; protection against contamination judged as unclear risk</p>
Geary 2019,Low risk,<p>Lottery method was used for randomisation.</p>,Unclear risk,<p>No details or study flow diagram for clusters to determine if they were likely all allocated at the same time</p>,Unclear risk,<p>Outcomes assessment not clearly reported but likely unblinded. Unclear on the process of recording medication dispensation and whether this could be biased</p>,Low risk,"<p>6/104 intervention groups and 1/103 control groups excluded with reasons provided. These are not related to the intervention, and attrition is still reasonably balanced.</p>",Low risk,<p>Outcomes consistent with registered protocol NCT01942031</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,"<p>Some baseline imbalances reported, but data were adjusted for baseline characteristics, so likely low risk</p>",Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",Unclear risk,<p>No information about adjusting for clustering</p>,Unclear risk,<p>Unable to assess bias in important domains</p>
Gerber 2014,Low risk,"<p>Not specifically reported, but a statistician performed randomisation, so it is likely an adequate method was used</p>",Low risk,<p>Statistician performed randomisation centrally.</p>,Low risk,<p>Data collected from routine electronic medical records; unlikely for bias to be introduced</p>,Low risk,"<p>No practices lost to follow-up; 81/84 clinicians in each arm analysed, which is balanced and not significant</p>",Low risk,<p>Results reported as in methods and trial registration</p>,Low risk,<p>Unlikely participants/clusters recruited to the trial after clusters randomised</p>,Low risk,<p>Similar at baseline or adjusted for in analysis</p>,Low risk,<p>Clinics randomised to avoid contamination</p>,Low risk,<p>Clustering taken into account</p>,Low risk,<p>Low risk across all domains</p>
Gilkey 2014,Unclear risk,<p>Randomisation process not well described</p>,High risk,<p>Allocation performed by author</p>,Low risk,<p>Data were extracted from the North Carolina Immunization Registry</p>,Low risk,<p>No losses reported</p>,Low risk,<p>Prospectively registered protocol; all outcomes reported</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Low risk,"<p>See table 1, characteristics and outcomes balanced between groups</p>",Low risk,<p>Cluster design means contamination is unlikely.</p>,Low risk,<p>Clustering taken into account</p>,High risk,<p>Due to allocation concealment</p>
Gilkey 2019,Unclear risk,<p>Not enough information to determine sequence generation</p>,Low risk,"<p>As per flow chart, allocation was likely done at one time, centrally</p>",Low risk,<p>Outcomes assessment (electronic medical records) unlikely to be biased even with knowledge of allocation</p>,Low risk,"<p>Primary analysis used ITT, and sensitivity analysis was also performed with ""questionable"" data collection excluded.</p>",Unclear risk,<p>No protocol or trial registration to check against. Appears to be complete reporting from what is provided</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,High risk,<p>Vaccination coverage higher in the intervention group at baseline - this could affect results of the QI program.</p>,Low risk,<p>Allocation to intervention or control was by cluster and involved attendance at training sessions as well as assessment - so unlikely that physicians in the control (waiting-list) group received the intervention</p>,Low risk,<p>Analysis accounted for clusters</p>,High risk,<p>Baseline imbalance judged to be high risk</p>
Gjelstad 2013,Unclear risk,<p>Method of sequence generation is unclear.</p>,Low risk,"<p>Though not explicitly described, it appears all practices were allocated at one time.</p>",Low risk,"<p>Doctors in both arms received an intervention, so it is unlikely they knew which behaviour the trial was targetting. Outcome measures are collected from patient records and not likely subject to bias by abstractors (whether they knew allocation or not).</p>",Low risk,<p>Incomplete data from dropouts appear balanced between groups and reasons do not appear to suggest risk of bias from intervention and to outcomes.</p>,Low risk,<p>Outcomes align with reported outcomes in the study protocol.</p>,Low risk,"<p>The randomisation was stratified by five geographical regions to reconcile the number of available peer academic detailers&nbsp;needed in each arm of the study within each region. Within each stratum, the continuing medical education group number and&nbsp;the type of intervention were drawn separately by staff not&nbsp;engaged in the project. After the randomisation, each member of the continuing medical education groups gave written consent to participate in the study.&nbsp;</p>",Low risk,<p>No important differences in outcomes or characteristics across study groups were present.</p>,Unclear risk,<p>Professionals were allocated within a geographical region and it is possible that communication between intervention and control professionals could have occurred (unclear if it was possible or not).</p>,Low risk,<p>Data were adjusted for covariates.</p>,Low risk,<p>Low risk across most domains</p>
Goderis 2010,Low risk,<p>Computer-generated randomisation</p>,Low risk,<p>Clusters were likely allocated at one time.</p>,High risk,"<p>Main outcomes were at patient level using blood analyses and blood pressures, with the latter outcome subject to risk of bias due to knowledge of the intervention.</p>",High risk,"<p>18 physicians in UQIP and 4 physicians in AQIP dropped out after allocation and before intervention (significant difference); a further 2 UQIP physicians dropped out after the intervention (non-significant difference). Analysis was described as ITT, but trialists only analysed practices that remained.</p>",Low risk,<p>Results are reported consistent with the published protocol.</p>,Low risk,<p>Central recruitment done before trial commenced</p>,Low risk,"<p>Baselines appeared balanced, and they used pairwise randomisation.</p>",Low risk,"<p>Both arms received same basic programme. The intervention arm got extra stuff, like educational intervention about SDM and patient-centred comms. Even if people in the arm did communicate with control, it seems unlikely this material could easily be shared to contaminate trial.</p>",Low risk,<p>Taken into account in analysis</p>,High risk,<p>Based on blinding and incomplete outcome data</p>
Goff 2003,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Low risk,<p>Administrative databases used for data collection</p>,Low risk,<p>Similar numbers of dropouts in both groups due to closings</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No recruitment after allocation</p>,Low risk,<p>Patient groups comparable at baseline</p>,Low risk,<p>Practices separate</p>,Low risk,<p>Generalised estimating equations</p>,Low risk,<p>Low risk of bias across all important domains</p>
Goldberg 1998,Unclear risk,<p>15 small group practices of providers and patients were randomised in blocks.<br>Unclear how randomisation was determined</p>,Unclear risk,<p>No details or study flow diagram to determine allocation concealment of clusters</p>,High risk,"<p>Not addressed and used a mixture of chart audit and patient survey. Likely that bias could be introduced in outcome assessment, since it is likely allocations were known</p>",Unclear risk,<p>Flow of participants not clearly reported and difficult to determine missing outcomes per arm</p>,Unclear risk,<p>No protocol or trial registration</p>,Unclear risk,<p>Unclear the number of providers per group and when the randomisation occurred and if anyone came later</p>,Low risk,<p>No differences in practitioners between groups at baseline. Only difference was in the percentage of males in patients</p>,Unclear risk,"<p>Practices randomised, but multiple practices at one clinical site may have been randomised to different groups and unclear if there is any interaction between these</p>",Low risk,"<p>The primary study analysis was carried out across clinics at the level of the group practice, the unit of randomisation to study arms</p>",High risk,<p>Due to blinding</p>
Gonzales 2013,Unclear risk,<p>Method of random sequence generation is not reported.</p>,Low risk,"<p>No details but, based on study flow diagram, it is likely clusters were allocated at the same time.</p>",Low risk,<p>All office visits and prescription data were extracted from the electronic health record system by individuals who were unaware of the group allocation of the study site.</p>,Low risk,"<p>Although it is not clearly described, there does not appear to be any loss of clusters in any of the groups at the end of the intervention period.</p>",Low risk,<p>Study protocol available. The proposed outcomes match the outcomes reported in the published full text.</p>,Low risk,<p>Practices were selected prior to randomisation.</p>,Unclear risk,<p>Baseline characteristics of practices and physicians are not reported.</p>,Low risk,"<p>The cluster design reduces the risk of contamination between groups. The study area was quite large, so it is unlikely that there was contamination between clusters.</p>",Low risk,<p>Analyses were adjusted for clustering.</p>,Unclear risk,<p>Unclear due to baseline imbalances and random sequence generation</p>
Grady 1997,Low risk,<p>Computer-generated randomisation</p>,Unclear risk,<p>Unable to assess</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>87% follow-up of physicians</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,"<p>No participants were enroled post-randomisation of clusters, hence, there is low risk of recruitment bias.</p>",Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate practices</p>,Unclear risk,<p>Repeated measures ANOVA</p>,Unclear risk,<p>Unable to assess bias&nbsp;</p>
Guadagnoli 2000,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Cluster trial; allocation after recruitment completed</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>All hospitals with at least 7 cases participated in follow-up.</p>,Low risk,<p>Appropriate outcomes measured</p>,Low risk,<p>No evidence of recruitment after randomisation and allocation</p>,Unclear risk,<p>Unable to assess</p>,Low risk,<p>Separate hospitals</p>,High risk,<p>Wilcoxon Rank Sum test</p>,High risk,<p>High due to incorrect analysis</p>
Gude 2016a,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Concealment occurred in the initial enrolment and allocation</p>,Low risk,<p>Outcome assessment unlikely to be biased as both arms receiving intervention and data collected from electronic records</p>,Unclear risk,<p>Incomplete outcome data are not clearly reported.</p>,Low risk,<p>Reported in line with trial registration and published protocol</p>,Low risk,<p>Allocation concealed to those enroling centres; no centres enroled later</p>,Low risk,"<p>Baseline characteristics similar between groups, except for type of centre which was controlled for in analysis</p>",Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",High risk,<p>No reporting of taking clustering into account for analysis</p>,High risk,<p>Incorrect analysis judged to be high risk</p>
Gude 2016b,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Concealment occurred in the initial enrolment and allocation</p>,Low risk,<p>Outcome assessment unlikely to be biased as both arms receiving intervention and data collected from electronic records</p>,Unclear risk,<p>Incomplete outcome data are not clearly reported.</p>,Low risk,<p>Reported in line with trial registration and published protocol</p>,Low risk,<p>Allocation concealed to those enroling centres; no centres enroled later</p>,Low risk,"<p>Baseline characteristics similar between groups, except for type of centre which was controlled for in analysis</p>",Low risk,"<p>Due to cluster design, contamination is unlikely.</p>",High risk,<p>No reporting of taking clustering into account for analysis</p>,High risk,<p>Incorrect analysis judged to be high risk</p>
Guldberg 2011,Low risk,<p>Computer-generated random sequence</p>,High risk,<p>No allocation concealment</p>,Low risk,<p>Unlikely to influence the biologic measures used</p>,Low risk,<p>Low risk of attrition bias as intention-to-treat analysis was performed. Further analysis after removing the 25 practices showed no significant change in results.</p>,Unclear risk,<p>The trial was not registered and no study protocol was found.</p>,Low risk,<p>No recruitment after allocation</p>,Low risk,<p>Baseline appears balanced.</p>,Low risk,<p>Cluster design means contamination is unlikely.</p>,Low risk,<p>Clustering was accounted for in the analysis which was done at the practice level.</p>,High risk,<p>Due to allocation concealment</p>
Gulliford 2019,Low risk,<p>Computer-generated random sequence</p>,Low risk,<p>Allocation performed centrally at one time</p>,Unclear risk,<p>Potentially outcome assessment may be differentially recorded at different sites.</p>,Low risk,"<p>Similar number of withdrawals from both groups for similar reasons, hence, there is a low risk of attrition bias.</p>",Low risk,<p>The trial was registered and protocol published; all deviations from the protocol were clearly outlined in the paper.</p>,Low risk,<p>No information on participants being recruited to the trial after randomisation had taken place</p>,Low risk,<p>No obvious baseline differences between groups</p>,Low risk,"<p>Due to cluster design, contamination is unlikely. Authors note both trial arms may have been contaminated by a system-wide initiative, but this would not be differential between arms. ""The NHS introduced an incentive known as the ‘Quality Premium’ to encourage reduced antibiotic utilisation. Antimicrobial stewardship interventions became available from a number of national and local sources. Perhaps as a result of some of these interventions, the English Surveillance Programme for Antimicrobial Utilisation and Resistance (ESPAUR) found that there was a 13% decrease in the number of antibiotic prescriptions dispensed from GP settings between 2012 and 2016. These system-wide interventions will have ‘contaminated’ both trial arms of the study. It is possible that a greater intervention effect might have been observed in their absence.""</p>",Low risk,"<p>Cluster-level analysis was originally planned, but deviations made with explanations. Cluster-level analysis was still performed as secondary analysis</p>",Low risk,<p>Low risk across all important domains</p>
