Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias)
Henry 2013,Low risk,<p>Simple randomisation using a random number table was performed prior to trial commencement for 240 patients.</p>,Low risk,"<p>The allocation assignment was sealed in sequentially numbered, opaque envelopes by an individual not otherwise involved in the conduct of the trial. Envelopes were kept in a locked box in the Antenatal ward with keys held by midwifery staff. When trial consent was signed the next sequential envelope was removed from the box and opened to determine allocation.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (ACTRN12609000420246). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Hosli 2008,Low risk,"<p>A medical statistician generated the allocation of treatment before the onset of the study, producing a computer-generated random number list with randomization in blocks of ten.</p>",Low risk,"<p>After signing the informed consent, the patients were allocated by placement in the consecutively numbered list.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Incerpi 2001,Low risk,"<p>A predetermined randomization schedule was established by an independent third party. The randomization was performed by using a computer-generated random number table, and the pharmacy prepared and distributed the medication according to the randomization schedule.</p>",Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Itoh 2021,Low risk,<p>The randomization number was allocated by the electric Case Report Form (eCRF) in the order in which the subjects were being randomized into the trial.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,"<p>All participants completed the study, except for one subject in the placebo group who was excluded due to a nonreassuring fetal heart rate pattern observed before administration.</p>",Low risk,"<p>The protocol of the study was registered (NCT03067727). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Jahromi 2016,Unclear risk,<p>Every patient received 1 medication package coded as A or B via the simple randomization technique.</p>,Unclear risk,<p>Two hundred medication packages were prepared and coded as A or B. All the packages contained 2 similar plastic bags; one of them contained sublingual tablets and the other bag contained vaginal suppositories.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (IRCT201402096541N3). However, the study failed to report our primary outcomes.</p>"
Jozwiak 2011,Low risk,"<p>Women were randomly allocated to induction with either a Foley catheter or prostaglandin E2 gel by their attending physician, in a 1:1 ratio. The randomisation sequence was computer-generated with an online randomisation programme, with variable blocks of two and four, stratified for centre and parity.</p>",Low risk,<p>The randomisation sequence was not accessible by the recruiters nor the trial coordinator. The allocation code was disclosed after the a patient’s initials were entered and inclusion criteria were confirmed on the website; the unique number generated could not be deleted afterwards.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>After randomisation, one woman was lost to follow-up and 29 women discontinued the intervention. However, the intention-to-treat method was used in analysing the data, so the data of these women were still included in the analysis. Five women were excluded from the analysis due to the following reasons: 1) no data found (n = 1), 2) not meeting the inclusion criteria (n = 3), and 3) being randomized twice (n = 1). All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was registered (NTR1646). However, the study failed to report our primary outcomes.</p>"
Jozwiak 2013,Low risk,"<p>Randomization occurred through a computerized programme especially designed for randomized controlled trials. The randomization sequence was computer-generated, and was composed of variable blocks of 2 and 4.</p>",Low risk,"<p>We used a central randomization list, stratified for centre and parity. The sequence could not be viewed by the recruiter, nor the trial-coordinator when the trial was ongoing.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>After randomisation, 15 women discontinued the intervention. However, the intention-to-treat method was used in analysing the data, so the data of these women were still included in the analysis. Six women were excluded from the analysis due to the following reasons: 1) violation of trial criteria (n = 5) and 2) lack of inform consent (n = 1). All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was registered (NTR1646). However, the study failed to report our primary outcomes.</p>"
Khamaiseh 2012,Low risk,<p>Randomization was done by a computer generated list of random numbers.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Khoury 2001,Low risk,<p>Patients were randomized by computer-generated assignment.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Kidanto 2007,Low risk,<p>Sequential sealed envelopes generated by computer were used.</p>,Low risk,<p>Sequential sealed envelopes generated by computer were used.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Kim 2005,Low risk,"<p>In order to make the evalua5on of drug efficacy fair, the subject group was randomly divided into two groups using the SAS program and assigned to the PGE2 pessary group and the PGE2 vaginal tablet group.</p>",Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>3 women (&lt; 10%) were excluded from the analyses due to the following reasons: 2 women were excluded because they violated the protocol and 1 women was excluded because sufficient information could not be obtained. All other women were included in the analysis.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Kuper 2018,Low risk,"<p>Study statisticians prepared a confidential computer-generated variable block randomization scheme that was only available to the study statisticians. The randomization scheme was loaded into the Research Electronic Data Capture system, and group assignment concealment was assured by using the Research Electronic Data Capture system to randomize women.</p>",Low risk,"<p>The randomization scheme was loaded into the Research Electronic Data Capture system, and group assignment concealment was assured by using the Research Electronic Data Capture system to randomize women.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT02756689). However, the study failed to report our primary outcomes.</p>"
Kwon 2001,Low risk,"<p>After informed consent was obtained, the women were assigned to an induction method by opening the next sequentially numbered opaque envelope. These envelopes were prepared by the study pharmacist using random number tables with randomisation in blocks of four.</p>",Low risk,"<p>After informed consent was obtained, the women were assigned to an induction method by opening the next sequentially numbered opaque envelope. These envelopes were prepared by the study pharmacist using random number tables with randomisation in blocks of four.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Lemyre,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>Using sealed envelopes, they are randomized into two groups.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Levine 2016,Low risk,<p>An independent consultant created a computer-generated randomization scheme that used balanced treatment allocation in blocks of 20. Randomization was stratified by parity.</p>,Low risk,"<p>An Internet-based clinical trial management system, Research Electronic Data Capture, REDCap, was accessed to enter enrollment information, ensure eligibility, and request randomized treatment allocation.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (NCT01916681). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Levy 2007,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>Sequentially numbered envelopes containing three identical capsules were given, while the real content of each envelope was kept at the pharmacy and unknown to either the patient or the medical staff until the end of the study.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Lo 2006,Low risk,"<p>Eligible subjects giving written informed consent were randomised into the misoprostol or oxytocin treatment group, according to a computer-generated random number table.</p>",Low risk,<p>The allocation was concealed in sealed sequentially numbered envelopes prepared by an assistant not involved in the clinical care of patients.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Mahmood 1995,Low risk,"<p>A randomization list was prepared, using a random-numbers list12to assign odd and even numbers for the two treatments. The instructions for individual patients were stored in separate envelopes.</p>",Low risk,"<p>A randomization list was prepared, using a random-numbers list12to assign odd and even numbers for the two treatments. The instructions for individual patients were stored in separate envelopes.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Matega,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>Randomization was carried out using opaque, sealed and numbered envelopes.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (PACTR202208496861650). However, the study failed to report our primary outcomes.</p>"
McKenna 2004,Low risk,"<p>Each participant was assigned a sequential study number, and randomization was performed by the hospital’s inpatient pharmacy using a computer-generated random number table.</p>",Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Moraes Filho 2010,Low risk,"<p>Randomization to each method of labor induction (two groups) was carried out using a computer- generated randomization list of numbers, without a fixed number of subjects per group.</p>",Low risk,"<p>The information on the group assigned was then placed inside an individual, sealed, opaque and sequentially numbered envelope.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Mundle 2017,Low risk,"<p>The envelopes were generated by staff at Gynuity Health Projects (New York, NY, USA) by use of a randomisation code provided independently by the trial statistician on the basis of computer-generated pseudorandom numbers, with block sizes of four, six, and eight.</p>",Low risk,"<p>After the participant provided informed consent, research staff opened a sequentially numbered, sealed, opaque envelope containing the participant’s group assignment and participants were randomly allocated, in a 1:1 ratio, to receive either cervical ripening with transcervical Foley catheterisation or oral misoprostol tablets.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>Only 4 women (less than 10%) failed to induce labor with the assigned method. However, all women were included in the analysis due to the intention-to-treat approach used by the authors.</p>",Low risk,"<p>The protocol of the study was registered (NCT01801410). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Nassar 2007,Low risk,<p>Envelopes were prepared based on a computer-generated randomisation table by the principal investigator who was not involved in the clinical care of the women.</p>,Low risk,"<p>Eligible women were approached upon admission. After giving informed consent, they were randomised to receive either 50 micrograms of vaginal or sublingual misoprostol by choosing the next sequentially numbered, sealed, and opaque envelope.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was registered (NCT00140114). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Nopdonrattakoon 2003,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>The allocation was done by opening sequentially numbered opaque envelopes, which contained a card stating the mode of administration.</p>",Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Nwali 2021,Low risk,<p>The parturients were selected by simple random sampling method and recruited into the arms of the study. Each parturient picked by simple lucky dip from a pool of folded papers with inscription group 1 or group 2 in a bag in a double blinded manner and were recruited into the group picked among the two arms of the study.</p>,Low risk,<p>The parturients were selected by simple random sampling method and recruited into the arms of the study. Each parturient picked by simple lucky dip from a pool of folded papers with inscription group 1 or group 2 in a bag in a double blinded manner and were recruited into the group picked among the two arms of the study.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT02574338). However, the study failed to report our primary outcomes.</p>"
O'Brien 1995,Low risk,"<p>Randomization was performed with a random numbers table, and the randomization scheme used permuted blocks of varying block length.</p>",Unclear risk,<p>Allocation concealment was not reported</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Oboro 2005,Low risk,<p>These cards had been obtained from a computer-generated random schedule and placed the patients in one of two groups.</p>,Low risk,<p>Eligible candidates had a card drawn from a consecutive series of sealed envelopes.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>1 woman (&lt; 10%) were excluded from the analyses due to complete outcomes data could not be obtained. All other women were included in the analysis.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Oliveira 2010,Low risk,"<p>The allocation of groups was made by drawing lots, using opaque envelopes, numbered and randomly distributed , with numerical sequence obtained in a computerized program.</p>",Low risk,"<p>The allocation of groups was made by drawing lots, using opaque envelopes, numbered and randomly distributed , with numerical sequence obtained in a computerized program.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT01140971). However, the study failed to report our primary outcomes.</p>"
Osman 2006,Low risk,"<p>The randomized study treatment assignments were computer generated with the use of permuted blocks and were sealed in sequentially numbered opaque envelopes at the Study Data Centre (Robertson Centre for Biostatistics, University of Glasgow, UK).</p>",Low risk,"<p>The randomized study treatment assignments were computer generated with the use of permuted blocks and were sealed in sequentially numbered opaque envelopes at the Study Data Centre (Robertson Centre for Biostatistics, University of Glasgow, UK).</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,"<p>After randomisation, 7 women did not complete the protocol. However, the intention-to-treat method was used in analysing the data, so the data of these women were still included in the analysis. 2 women (&lt; 10%) were excluded from the analysis because they did not receive the allocated intervention. All other women were included in the analysis.</p>",High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Ozkan 2009,Low risk,"<p>Randomization was done by means of a computer-generated randomization table, and allocations were placed in consecutively numbered and sealed, opaque envelopes.</p>",Low risk,"<p>Randomization was done by means of a computer-generated randomization table, and allocations were placed in consecutively numbered and sealed, opaque envelopes.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Paisarntantiwong 2005,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>The randomization was stratified by block of four and was performed by the resident or the attending staff. The uninvolved staff prepared the opaque envelope which contained two packs labeled “vaginal medication” and “oral medication”, either 2 vitamin B6 placebo or 2 misoprostol).</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Pandis 2001,Low risk,"<p>Computer generated random number lists were drawn up by a medical statistician, with randomization in blocks of 10.</p>",Low risk,<p>Allocation was performed by contacting the lead researcher who held the randomization code and each woman was then assigned a sequential study number corresponding to one of the inducing agents.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,High risk,"<p>A total of 235 women (&gt; 20%) were excluded from the analysis, comprising of 110 women in the vaginal dinoprostone group and 125 women in the vaginal misoprostol group. The reasons for exclusion were as follows: 1) one participant declined to participate in the study, 2) 181 participants had spontaneous delivery before induction, 3) 32 participants were induced by other methods that were not evaluated in this study, 4) 8 participants had undergone a cesarean section before induction, 5) 11 participants had long delays in assessment after induction, and 6) 2 participants had erroneous drug administration. All other women were included in the analysis.</p>",Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Papanikolaou 2004,Low risk,<p>A sequence from a computerized random number generator was used for the allocation of patients to each group.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
PonMalar 2017,Low risk,"<p>Permuted block randomization with blocks of two, four and six was performed using SAS version 9.3.1 (SAS Institute, Cary, NC, USA) and the study drug was packed in serially numbered packets by the Pharmacy Department of our institution.</p>",Low risk,"<p>Permuted block randomization with blocks of two, four and six was performed using SAS version 9.3.1 (SAS Institute, Cary, NC, USA) and the study drug was packed in serially numbered packets by the Pharmacy Department of our institution.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (CTRI/2013/08/003883). However, the study failed to report our primary outcomes.</p>"
Prager 2008,Low risk,"<p>The order of these envelopes, which showed only the randomisation number on the outside, was determined from a computer- generated list of random numbers.</p>",Low risk,"<p>These subjects were assigned randomly, by the obstetrician or midwife in charge, to one of the three groups by being given the next sealed, opaque envelopes containing information concerning the treatment.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>4 women (&lt; 10%) were excluded because of missing data.</p>,High risk,"<p>The protocol of the study was registered (NCT00602095). However, the study failed to report our primary outcomes.</p>"
Rahman 2013,Low risk,"<p>A staff member not involved with the trial generated allocation envelopes for each group, using the random number table.</p>",Low risk,"<p>Allocation envelopes were then sealed in consecutively numbered opaque envelopes. Once a woman consented to participate in the trial, the next sealed envelope was opened, irreversibly randomizing her group allocation. The randomization list and envelopes were kept securely by the staff member.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>8 women (&lt; 10%) were excluded from the analysis as they withdrew their consent.</p>,Low risk,"<p>The protocol of the study was registered (CTRI/2012/07/002785). In addition, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Rameez 2007,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,"<p>Sequentially numbered, sealed, opaque envelopes were packed with a tablet of either ISMN-SR 60 mg (study group) from Micro Laboratories (Bangalore, India) or a vitamin C 100 mg (control group) by the second author.</p>",Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (SLCTR/2007/009). However, the study failed to report our primary outcomes.</p>"
Rayburn 1988,Low risk,<p>The study women were assigned to one of two groups (PGE2 gel or placebo gel) by the random drawing of a card kept by the pharmacy.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Rayburn 1992,Low risk,<p>Each eligible candidate was assigned sequentially to either the PGE2 or placebo pessary group according to a computer-assisted code of random numbers provided by the sponsor.</p>,Low risk,<p>The double-blind code was contained in individually sealed envelopes so that the code could be broken for individual subjects if treatment failed.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Rozenberg 2004,Low risk,<p>Randomization was based on a computer-generated list that used permuted blocks of 4 blinded to the investigator.</p>,Low risk,"<p>This was carried out with sealed, opaque envelopes that were stored in the predelivery unit of the maternity ward. The envelope was opened just before the allocated treatment was administered.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
Saad 2019,Low risk,<p>Randomization sequence was created independently using a computer- generated randomization and was concealed from those responsible for recruiting participants into the study by keeping it in a file cabinet with access restricted to research staff.</p>,Low risk,<p>Randomization sequence was created independently using a computer- generated randomization and was concealed from those responsible for recruiting participants into the study by keeping it in a file cabinet with access restricted to research staff.</p>,Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,"<p>A total of 27 women did not follow the study protocol, but they were still included in the analysis because the study used an intention-to-treat approach. Only two women were excluded from the analysis because they withdrew their consent.</p>",High risk,"<p>The protocol of the study was registered (NCT02899689). However, the study failed to report our primary outcomes.</p>"
Sarreau 2020,Low risk,"<p>The randomization sequence was computer‐ generated with variable blocks of four, stratified by center.</p>",Low risk,"<p>Women were randomly assigned by a centralized web‐based management system (Clinsight, Ennov; SAS Institute) to cervical ripening and induction of labor with either a BC or oxytocin perfusion alone, in a 1:1 ratio.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,"<p>After randomisation, 8 women did not receive the allocated intervention and 3 women discontinued the allocated intervention. However, these women were still included in the analysis as this study performed the analysis according to an intention-to-treat basis. Only 1 woman was not included in the analysis because she withdrew her consent.</p>",High risk,"<p>The protocol of the study was registered (NCT01711060). However, the study failed to report our primary outcomes.</p>"
Sawai 1991,Unclear risk,<p>Random sequence generation was not reported.</p>,Low risk,<p>The subjects were randomized by the drawing of envelopes containing randomly generated assignments to either 2 mg of PGE2 in 2 mL hydroxyethyl cellulose gel or a placebo consisting of the gel alone.</p>,Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Sawai 1994,Low risk,<p>The subjects were randomized by computer-generated assignment to receive daily intravaginal suppositories containing either 2 mg of PGE2 in a fatty base or a placebo consisting of fatty base alone.</p>,Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Assessors were blinded to treatment allocations.</p>,Low risk,<p>Study participants were blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was unavailable for verification. In addition, the study failed to report our primary outcomes.</p>"
Schmitz 2014,Low risk,<p>Eligible patients were randomly assigned by obstetricians or midwives using a web-based application in a one-to-one ratio to the isosorbide mononi- trate or placebo groups; the application was based on a computer-generated list with permuted blocks of four stratified by maternity units.</p>,Low risk,<p>The allocation sequence was not available to any member of the research team until the database was completed and locked.</p>,Low risk,<p>Study participants and caregivers were blinded to treatment allocations.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>11 women (&lt; 10%) were excluded from the analysis due to: 1) 1 woman was loss to follow-up and 2) 10 women did ntot meet the inclusion criteria.</p>,High risk,"<p>The protocol of the study was registered (NCT00930618). However, the study failed to report our primary outcomes.</p>"
Shechter-Maor 2015,Low risk,"<p>After signing an informed consent form, patients were randomized for double balloon catheter or slow-release prostaglandin induction using computer-generated random sequences.</p>",Unclear risk,<p>Allocation concealment was not reported.</p>,Low risk,<p>Blinding (of study participants and caregivers) was not reported.</p>,Low risk,<p>Assessor blinding was not reported.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,High risk,"<p>The protocol of the study was registered (NCT00815542). However, the study failed to report our primary outcomes.</p>"
Shetty 2001,Low risk,<p>These cards were based on a computer-generated randomisation table.</p>,Low risk,"<p>The allocation was done by opening sequentially numbered opaque envelopes, which contained cards stating the mode of administration.</p>",Low risk,<p>Study participants and caregivers were not blinded.</p>,Low risk,<p>Assessors were not blinded to treatment allocations.</p>,Low risk,<p>Data were collected completely from all randomised study participants.</p>,Low risk,"<p>The protocol of the study was unavailable for verification. However, the study reported the outcomes that satisfied with our criteria for this risk of bias domain.</p>"
