Study,Year,Data source,ID: CRS,Char: Patient sampling,Char: Patient characteristics and setting,Char: Index test,Char: Target condition and reference standard(s),Char: Flow and timing,Char: Comparative,Char: Notes,Cov: Year,Cov: Continent,Cov: Type of study report,Cov: Study design,Cov: Randomized/non-randomized,Cov: Total number of patients,Cov: Patients analyzed,Cov: Exclusion criteria,Cov: Age,Cov: % male,Cov: Race,Cov: % cirrhosis,Cov: % HCV,Cov: % HBV,Cov: % alcoholic aetiology,Cov: % NAFLD,Cov: MELD,Cov: % Child Pugh A,Cov: % Child Pugh B,Cov: % Child Pugh C,Cov: % Child Pugh B+C,Cov: % CSPH,Cov: % SPH,Cov: Operator,Cov: Index test 1,Cov: Index test 2,Cov: Combination,Cov: Blinding the operators (HVPG),Cov: Blinding the operators (LSM/SSM),Cov: Time interval LSM/SSM-HVPG,Cov: Type of probe used,Cov: % oesophageal varices,Cov: Viral (HBV+HCV),Cov: Viral aetiology more than 80%,Cov: CSPH more than 50%,Cov: SPH more than 25%,Cov: Child Pugh A more than 75%,Cov: SSM VCTE only - LSM 50Hz vs SSM 100Hz,Cov: SSM VCTE only (LSM 50Hz) - M probe vs XL probe,Cov: Unsuccessful or indeterminate results more than 20%,Cov: Index test 3,Cov: Index test 4
Kumar 2017,2017,PUB,26589958,"<p>""Consecutive patients with cirrhosis greater than 15 years of age who underwent HVPG and TE were included in the study. Both these procedures should have been performed within an interval of one week. The following patients were excluded from the study: (1) patients with non-cirrhotic cause of portal hypertension; (2) patients with acute-on-chronic liver failure; (3) patients with an invalid reading of TE or whose HVPG was not possible due to technical reasons; (4) patients who received beta blocker therapy in the past two weeks; and (5) concomitant extrahepatic malignancy.""</p><p>""From January 2014 to June 2016, three hundred and seventy-nine patients were screened for enrolment in the study. Of these, 326 patients were included in the study, and the remaining 53 were excluded due to following reasons: (1) patients with non-cirrhotic cause of portal hypertension (n = 16); (2) patients with acute-on-chronic liver failure (n= 27); (3) patients with invalid TE reading or whose HVPG was not possible due to technical reasons (n = 5); (4) patients who received beta blocker therapy in the past two weeks (n = 3); and (5) concomitant extrahepatic malignancy (n = 2).""</p>","<p>""The study was conducted at the Institute of Liver, Gastroenterology, and Pancreatico-Biliary Sciences, Sir Ganga Ram Hospital, New Delhi, on patients who underwent HVPG and TE from July 2011 to May 2016.""</p><p>""The median age was 52 years (range 16-90 years), and the majority (81%) were males. The most common etiology of cirrhosis was cryptogenic (45%) followed by alcohol (34%). Ascites was present in 51% of patients. Sixty-four percent of patients were non-bleeders, whereas the remaining had bled from varices in the past. The median CTP score was 7 (range 5-12), and the median MELD score was 12 (range 6-37). The median liver stiffness was 36 kPa with a range of 3 to 75 kPa. Eighty-five percent of patients had clinically significant portal hypertension (HVPG ≥ 10 mmHg). Seventy-six percent patients had HVPG greater than 12 mmHg (severe portal hypertension, SPH), which is the threshold for variceal bleeding.""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Consecutive patients with cirrhosis greater than 15 years of age who underwent HVPG and TE were included in the study. Both these procedures should have been performed within an interval of one week.""</p><p>""From January 2014 to June 2016, three hundred and seventy-nine patients were screened for enrolment in the study. Of these, 326 patients were included in the study, and the remaining 53 were excluded due to following reasons: (1) patients with non-cirrhotic cause of portal hypertension (n = 16); (2) patients with acute-on-chronic liver failure (n= 27); (3) patients with invalid TE reading or whose HVPG was not possible due to technical reasons (n = 5); (4) patients who received beta blocker therapy in the past two weeks (n = 3); and (5) concomitant extrahepatic malignancy (n = 2).""</p>",,"<p>""We have no financial relationships to disclose.""</p>",2017.0,Other,Full-text,Retrospective,Non-randomized,379.0,326.0,No exclusion criteria met,52.0,81.0,No data,100.0,,,34.0,45.0,12.0,,,,,85.0,76.0,Physicians,LSM by VCTE,None,None,No data,No data,< one week,Non-specified,86.0,15.0,No,Yes,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Lemoine 2008 (alcoholic aetiology),2008,PUB,26589960,"<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit. Between January 2004 and September 2006, 806 transjugular biopsies have been performed in our department. In this cohort of patients, we selected patients who had LSM and transjugular biopsy with HVPG measurement the same day and who fulfilled the following criteria: (i) histologically proven cirrhosis either because of HCV infection (positive HCV antibodies) or alcohol abuse (‡50 g ⁄ day during at least 10 years); (ii) patients scored Child-Pugh class A; and (iii) available hemodynamic data. The exclusion criteria were: (i) other causes of liver disease, in particular, HBV infection and mixed aetiologies (alcohol and HCV, HIV coinfection); (ii) presence of portal vein thrombosis; (iii) ongoing treatment by beta-blockers; (iv) ongoing or recent treatment &lt;6 months by anti-viral therapy; (v) recent gastro-intestinal bleeding or endotherapy; (vi) liver cancer; and (vii) cardiac failure. No patients were liver transplanted or had previous portosystemic shunt.""</p>","<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit. Between January 2004 and September 2006, 806 transjugular biopsies have been performed in our department. 92 patients were eligible. All patients had compensated cirrhosis and were scored Child-Pugh class A.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit.""</p>",,"<p>""Declaration of personal and funding interests: None.""</p>",2008.0,Europe,Full-text,Retrospective,Non-randomized,92.0,48.0,No exclusion criteria met,54.0,83.3,No data,100.0,0.0,0.0,100.0,0.0,,100.0,0.0,0.0,0.0,83.3,,Experienced physicians,LSM by VCTE,None,None,Yes,Yes,< one week,Non-specified,,0.0,No,Yes,No SPH analysis,Yes,No SSM analysis,No SSM analysis,No,None,None
Lemoine 2008 (viral aetiology),2008,PUB,26589962,"<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit. Between January 2004 and September 2006, 806 transjugular biopsies have been performed in our department. In this cohort of patients, we selected patients who had LSM and transjugular biopsy with HVPG measurement the same day and who fulfilled the following criteria: (i) histologically proven cirrhosis either because of HCV infection (positive HCV antibodies) or alcohol abuse (‡50 g ⁄ day during at least 10 years); (ii) patients scored Child-Pugh class A; and (iii) available hemodynamic data. The exclusion criteria were: (i) other causes of liver disease, in particular, HBV infection and mixed aetiologies (alcohol and HCV, HIV coinfection); (ii) presence of portal vein thrombosis; (iii) ongoing treatment by beta-blockers; (iv) ongoing or recent treatment &lt;6 months by anti-viral therapy; (v) recent gastro-intestinal bleeding or endotherapy; (vi) liver cancer; and (vii) cardiac failure. No patients were liver transplanted or had previous portosystemic shunt.""</p>","<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit. Between January 2004 and September 2006, 806 transjugular biopsies have been performed in our department. 92 patients were eligible. All patients had compensated cirrhosis and were scored Child-Pugh class A.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""We recorded data from a well-defined population of patients who, the same day, underwent transjugular liver biopsy and LSM (Fibroscan) in our liver unit.""</p>",,"<p>""Declaration of personal and funding interests: None.""</p>",2008.0,Europe,Full-text,Retrospective,Non-randomized,92.0,44.0,No exclusion criteria met,57.0,54.5,No data,100.0,100.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,77.3,,Experienced physicians,LSM by VCTE,None,None,Yes,Yes,< one week,Non-specified,,100.0,Yes,Yes,No SPH analysis,Yes,No SSM analysis,No SSM analysis,No,None,None
Levick 2019,2019,MIX,26589964,"<p>""Eligible patients were aged 16 years or over who were referred for liver biopsy for suspected cirrhosis with/ without portal pressure measurement. Patients were excluded if they had contraindications to MR scanning, or if the HVPG could not be computed from the available pressure measurements. Patients attended a single study visit for MR scanning and liver transient elastography using Fibroscan (Echosens, France). MR scans and other non-invasive scores were analysed blinded from the liver biopsy and HVPG results.""</p>","<p>""This was a prospective, proof of concept study. Patients were recruited consecutively from the John Radcliffe Hospital (Oxford, UK) between August 2013 and April 2015. Eligible patients were aged 16 years or over who were referred for liver biopsy for suspected cirrhosis with/ without portal pressure measurement.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>",<p>No information on interval between index test and reference standard.</p>,,"<p>""Competing interests: I have read the journal’s policy and the authors of this manuscript have the following competing interests: MP, RB, MDR, SN and EB are shareholders in Perspectum Diagnostics (PD). RB, MDR and SN are on the board of directors of PD. RB and MDR are employed by PD. MP, RB, MDR, SKP, SN and EB have filed patent applications, in the field of liver disease assessment using magnetic resonance techniques, including “Medical Imaging” patent with priority application number GB1406304.4, filed on 8th April 2014. This does not alter our adherence to PLOS ONE policies on sharing data and materials.""</p><p>""Funding: CL was supported by a doctoral training research fellowship (study (DRF_2015-08-065) from the National Institute of Health Research (NIHR) (https://www.nihr.ac.uk/our-research-community/NIHR-academy/nihr-training-programmes/fellowship-programme/nihr-doctoral-fellowship.htm). JPH, JC, RB, LMW, MDR received no specific funding for this work. JFC, SKP, SN, EB and MP were supported by the Oxford NIHR Biomedical Research Centre (https://oxfordbrc. nihr.ac.uk/). MP was supported by the Oxfordshire Health Services Research Committee (https://www. ouh.nhs.uk/researchers/grants/default.aspx). EB was supported by the Medical Research Council UK (https://mrc.ukri.org). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.""</p>",2019.0,Europe,Full-text,Prospective,Non-randomized,19.0,13.0,No exclusion criteria met,,,No data,,,,,,,,,,,30.8,,No data,LSM by VCTE,None,None,Yes,Yes,No data,Non-specified,,,No data on viral aetiology prevalence,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,Yes,None,None
Maruyama 2016,2016,PUB,26589966,"<p>""The potential participants of the study were patients who were tentatively diagnosed with chronic hepatitis or cirrhosis in the outpatient clinic of our department. The subjects were recruited when no focal hepatic lesion was detected by routine US and when: i) patients were scheduled for liver biopsy, ii) patients were diagnosed as chronic hepatitis or cirrhosis by a laboratory test combined with two different imaging modalities, US and computed tomography/magnetic resonance imaging. When the subjects decided to participate in this study, elastography with both 2D-SWE and TE were scheduled on the same day, and blood samples were obtained at the time of elastography. Additionally, all patients who were diagnosed with cirrhosis underwent upper gastrointestinal endoscopy to screen the gastroesophageal varices. The study excluded pregnant patients.""</p><p>""The study comprised of two phases; phase I performed in first 40 patients with histological diagnosis of fibrosis grade to propose the reliability criterion using the quality of propagation and phase II performed in 95 patients based on clinical diagnosis with/without histological results to compare the diagnostic abilities for chronic hepatitis/cirrhosis and severity of portal hypertension between 2D-SWE and TE. The phase II included control subjects recruited from those who received abdominal US screening in our hospital. The elastography was performed on the participants who showed no abnormal findings and volunteered.""</p><p>""Hepatic venous catheterization was performed in 25 patients, and with the technical success and reliability criteria for the elastography, 22 patients were eligible for the comparison of the diagnostics (median, 4 days between elastography and hepatic venous catheterization, range 2–170 days).""</p>","<p>""This prospective study was performed from November 2014 through December 2015 in our department after obtaining informed written consent from all participants. There were 95 subjects, and the technical success rate was 100% (95/95) using 2D-SWE and 94.7% (90/95, P = 0.023) using TE. The BMI (kg/m2 ) was significantly higher in the failure group (32.3 ± 4.1) than in the success group (21.5 ± 3.2, P &lt; 0.001). Finally, 70 patients were eligible for the study (Table 2); 14 controls, 13 patients with chronic hepatitis, and 43 patients with cirrhosis.""</p>",<p>LSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target conditions: CSPH and SPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""The median between elastography and hepatic venous catheterization was 4 days, range 2–170 days. Elastography with both 2D-SWE and TE were scheduled on the same day.""</p>",,<p>No data on conflicts of interest or funding.</p>,2016.0,Other,Full-text,Prospective,Non-randomized,70.0,25.0,No exclusion criteria met,,,No data,,,,,,,,,,,72.7,68.2,No data,LSM by VCTE,LSM by 2D-SWE,None,No data,No data,> one week,Non-specified,,,No data on viral aetiology prevalence,Yes,Yes,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Odriozola 2023,2023,PUB,26589968,"<p>""We conducted a retrospective cross-sectional study in the Marques de Valdecilla University Hospital (Santander, Cantabria, Spain), an urban, academic tertiary care centre. Patients aged 18 years or older with paired measurements of HVPG and LSM/SSM within 1 year were included. Patients with any of the following criteria were excluded: liver transplants recipients, patients with decompensated cirrhosis or any intervention that may affect portal pressure between LSM/SSM and HVPG measurements, non-cirrhotic portal hypertension, acute or chronic portal vein thrombosis of any extent, hepatocellular carcinoma outside the Milan criteria, transjugular intrahepatic portosystemic shunts and no abdominal imaging available or time interval between abdominal imaging and VCTE evaluation &gt;6 months. The main demographic, clinical, biochemical, radiological, histological and endoscopic data were collected for each patient at the time of VCTE measurement. The most frequent imaging test was abdominal ultrasound (n = 74, 87.1%), with 42 patients (49.4%) having a computed tomography scan or magnetic resonance imaging. A liver biopsy within 12 months of LSM/SSM was available in 65 patients (76.5%).""</p><p>""One MAFLD patient (1.2%) did not fulfil LSM reliability criteria and in another 11 (12.9%, 10 MAFLD and one non-MAFLD) SSM was not feasible (i.e., no valid measurement).""</p>","<p>""We conducted a retrospective cross-sectional study in the Marques de Valdecilla University Hospital (Santander, Cantabria, Spain), an urban, academic tertiary care centre. Patients aged 18 years or older with paired measurements of HVPG and LSM/SSM within 1 year were included.""</p><p>""A total of 160 patients had paired measurements of HVPG, SSM and LSM during the study period (January 2020–October 2022), of whom 75 patients presented exclusion criteria. Therefore, a total of 85 patients were included, 60 (70.6%) MAFLD and 25 (29.4%) with a non-MAFLD aetiology. Most of the patients were male (56, 65.9%) and the median age was 59.3 (54.0–64.8) years. Three patients (two MAFLD and one non-MAFLD) were on a stable dose of NSBB at both HVPG measurement and VCTE. The median HVPG was 6.5 (4.0–11.3) mmHg, and 29 (34.1%) patients had CSPH.""</p>",<p>LSM and SSM by VCTE. The cut-off values were not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""LSM and SSM were performed the same day by VCTE (Fibroscan® Expert 630, Echosens™) after overnight fasting and an abdominal ultrasound examination. The median time interval between the HVPG and TE evaluation was 7.4 (0.4–14.5) weeks and did not differ between groups (p = .276). Both procedures were performed on the same day in 22 patients (25.9%).""</p>",,"<p>The authors declare no conflict of interest.</p><p>""José Ignacio Fortea was supported by grants from the Carlos III Health Institute (PI20/01258) and the Spanish Association for Study of the Liver (AEEH, Juan Cordoba grant).""</p>",2023.0,Europe,Full-text,Retrospective,Non-randomized,160.0,84.0,Multiple,59.0,66.0,No data,,,,15.3,70.6,8.0,97.6,2.4,0.0,2.4,34.5,,No data,LSM by VCTE,SSM by VCTE,None,No data,No data,> one week,LSM@100Hz,,7.1,No,No,No SPH analysis,Yes,SSM 100Hz,No data on probe used,No,None,None
Podrug 2022,2022,PUB,26589970,"<p>""Consecutive patients with available results of HVPG measurements and liver biopsy performed due to suspicion of cACLD over a period of three years were included in this retrospective study approved by the Institutional Ethics Committee. Suspicion of cACLD was based on LSM≥10 kPa by TE or results of liver imaging (ultrasound, computerized tomography or magnetic resonance that revealed coarse liver parenchyma with irregular liver surface or irregular interface of the hepatic veins,), without overt signs of CSPH (presence of portosystemic collaterals or signs of decompensation—presence of ascites, not otherwise detectable by physical examination). All patients underwent standardized clinical workup in order to defne etiology and clinical stage of liver disease. Only patients over 18 years of age, with available results of LSM by TE performed within 1-month period before HVPG measurement, and no previous episodes of liver decompensation (ascites, variceal bleeding, portal encephalopathy, jaundice) were included. Patients with conditions known to afect results of LSM (ALT&gt;5×ULN, liver congestion, extrahepatic biliary obstruction, infltrative liver neoplasms) were excluded.""</p>","<p>""Consecutive patients with available results of HVPG measurements and liver biopsy performed due to suspicion of cACLD over a period of three years were included in this retrospective study approved by the Institutional Ethics Committee.""</p><p>""The majority of 76 included patients sufered from alcoholic (36.8%) or nonalcoholic fatty (30.3%) liver disease (Table 1), 40 (52.6%) had HVPG ≥10 mmHg, 56.6% had platelet counts ≥150× 109 /L and 30.3% were obese (body mass index, BMI&gt;30 kg/m2 ). LSM ≥10 kPa was detected in 65/76 (85.5%) patients, and 59 (90.8%) of them had bridging fbrosis or cirrhosis (cACLD) on histopathology examination.""</p>",<p>LSM by VCTE. The cut-off value was pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Only patients over 18 years of age, with available results of LSM by TE performed within 1-month period before HVPG measurement. All participants had reliable LSM and HVPG results.""</p>",,"<p>""The authors declare that they have no confict of interest. Each author has approved the final draft submitted.""</p><p>""This research did not receive any specifc grant from funding agencies in the public, commercial or not-for-proft sectors.""</p>",2022.0,Europe,Full-text,Retrospective,Non-randomized,89.0,76.0,No data,62.0,79.0,No data,80.3,,,36.8,30.3,,,,,,52.6,,No data,LSM by VCTE,None,None,No data,No data,> one week,Non-specified,22.4,14.5,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Procopet 2015a,2015,PUB,28522017,"<p>""One hundred twelve consecutive patients referred to Hepatic Hemodynamic Lab in Barcelona for HVPG measurement (alone or combined with transjugular liver biopsy) from February 20th to June 20th 2014 were screened. Patients in whom HVPG measurement for the assessment of portal hypertension was not the primary aim of the hemodynamic study were excluded. This occurred in 24 patients that had the the hemodynamic study was to obtain a transjugular liver biopsy for the histological evaluation of acute hepatitis (n=8), suspected rejection of the graft in previous liver transplantation (n=5), throughout assessment of non-cirrhotic ascites (n=5), suspected post-chemotherapy sinusoidal obstruction syndrome (n=4), suspected hepatic infiltrative lymphoma (n=1) and HIV associated portal hypertension (n=1).""</p>","<p>""One hundred twelve consecutive patients referred to Hepatic Hemodynamic Lab in Barcelona for HVPG measurement (alone or combined with transjugular liver biopsy) from February 20th to June 20th 2014 were screened. The included population (n=88) was composed by patients within the following clinical scenarios: compensated long-lasting chronic hepatitis (CLD) or cirrhosis (n=55; 4 with severe liver fibrosis, 51 with cirrhosis) in whom HVPG was required to assess the presence/absence of CSPH; decompensated cirrhosis (n=24; 20 with ascites) in whom HVPG was indicated before starting NSBB (n=6) or before TIPS insertion (n=4), or within the 7 evaluation of newly appeared ascites (n=14; post-transplantation recurrence of cirrhosis in one case); and control group to check for normality range (n=9): patients without any chronic liver disease but having one or two liver metastases from extrahepatic cancer in whom HVPG and liver biopsy were performed to rule-out PH due to previous chemotherapy. In all these patients liver resection surgery for the metastases was performed and pathological examination of the hepatic parenchyma excluded any liver disease. We included only 55 patients with compensated long-lasting chronic hepatitis or cirrhosis.""</p>",<p>LSM by 2D-SWE. The cut-off values were not pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""All RT-SWE measurements were done in the Hepatic Hemodynamic Laboratory in fasting state few minutes before HVPG measurement by two physicians experienced in abdominal ultrasound; therefore in all cases operators were blinded to the results of HVPG measurement.""</p>",,"<p>The authors have no conflict of interest to disclose.</p><p>""The Aixplorer ultrasound equipment was kindly provided by Supersonic Imagine, France for the period of the present study. This work is supported in part by grants from Instituto de Salud Carlos III (ISCiii, PI13/00341, FEDER). CIBERehd is funded by Instituto de Salud Carlos III. Dr. Procopet is Marie Curie Fellow within the CLEVER project which is funded by the European Commission under the Seventh Framework Programme (FP7-PEOPLE-2013-IAPP Grant agreement 612273).""</p>",2015.0,Europe,Full-text,Prospective,Non-randomized,88.0,55.0,No exclusion criteria met,59.0,72.0,No data,93.0,45.5,11.0,14.5,,,,,,,51.0,,Experienced physicians,LSM by 2D-SWE,None,None,Yes,Yes,< one week,Not VCTE,,56.5,No,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Procopet 2015b (training group),2015,PUB,28522019,"<p>""Patients were included in this prospective diagnostic study if they had compensated long-lasting chronic liver diseases with suspicion of cirrhosis and portal hypertension based on clinical and laboratory data. Exclusion criteria were: previous decompensation of liver disease, hepatocellular carcinoma, Child–Pugh score over 9 points and presence of acute hepatitis (transaminases higher than 10-fold the upper limit of normal) since this is a well-known cause of increase liver stiffness independently of liver fibrosis. In order to build the ANNs and validate their performance, the included population was arbitrarily split using a random integer set generator into two groups: a training group including more than 75% of the population (N = 158) and a validation set (N = 44).""</p>","<p>""All consecutive patients observed in a single tertiary reference centre in France for transjugular liver biopsy and HVPG measurement for the diagnosis of cirrhosis and portal hypertension over a period two years were screened.""</p><p>""Among the 236 patients observed, 21 were excluded due to previous decompensation (9%), 7 due to acute severe hepatitis (3%) and 6 due to a Child–Pugh score greater than 9 (2.5%).""</p><p>""By combining histological, clinical, and haemodynamic data, cirrhosis was found in 111 patients (55.4%); 69 had EV (61%) and 73 had clinically significant PH (65%), and 100 patients had F4 on histology (49.5%).""</p>",<p>LSM by VCTE. The cut-off values were pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""Serological tests and liver stiffness measurement were performed on the day of HVPG measurement.""</p>",,"<p>Authors declared no conflicts of interest.</p><p>""At the time of submission Dr. Bogdan Procopet and Dr. Horia Stefanescu are Marie Curie fellows within the CLEVER project, which isvfundedvby the European Commission under the Seventh Framework Programme (FP7-PEOPLE-2013-IAPP; Grant Agreement 612273).""</p>",2015.0,Europe,Full-text,Prospective,Non-randomized,236.0,154.0,No exclusion criteria met,58.0,65.0,No data,58.0,,,35.0,,,,,0.0,,37.0,,No data,LSM by VCTE,None,None,Yes,Yes,< one week,LSM@50Hz probe M,35.0,29.0,No,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Procopet 2015b (validation group),2015,PUB,28522021,"<p>""Patients were included in this prospective diagnostic study if they had compensated long-lasting chronic liver diseases with suspicion of cirrhosis and portal hypertension based on clinical and laboratory data. Exclusion criteria were: previous decompensation of liver disease, hepatocellular carcinoma, Child–Pugh score over 9 points and presence of acute hepatitis (transaminases higher than 10-fold the upper limit of normal) since this is a well-known cause of increase liver stiffness independently of liver fibrosis. In order to build the ANNs and validate their performance, the included population was arbitrarily split using a random integer set generator into two groups: a training group including more than 75% of the population (N = 158) and a validation set (N = 44).""</p>","<p>""All consecutive patients observed in a single tertiary reference centre in France for transjugular liver biopsy and HVPG measurement for the diagnosis of cirrhosis and portal hypertension over a period two years were screened.""</p><p>""Among the 236 patients observed, 21 were excluded due to previous decompensation (9%), 7 due to acute severe hepatitis (3%) and 6 due to a Child–Pugh score greater than 9 (2.5%).""</p><p>""By combining histological, clinical, and haemodynamic data, cirrhosis was found in 111 patients (55.4%); 69 had EV (61%) and 73 had clinically significant PH (65%), and 100 patients had F4 on histology (49.5%).""</p>",<p>LSM by VCTE. The cut-off values were pre-specified. The investigators were blinded for the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. The investigators were blinded for the results of index test and reference standard.</p>","<p>""Serological tests and liver stiffness measurement were performed on the day of HVPG measurement.""</p>",,"<p>Authors declared no conflicts of interest.</p><p>""At the time of submission Dr. Bogdan Procopet and Dr. Horia Stefanescu are Marie Curie fellows within the CLEVER project, which isvfundedvby the European Commission under the Seventh Framework Programme (FP7-PEOPLE-2013-IAPP; Grant Agreement 612273).""</p>",2015.0,Europe,Full-text,Prospective,Non-randomized,236.0,44.0,No exclusion criteria met,54.0,66.0,No data,46.0,,,23.0,,,,,0.0,,34.0,,No data,LSM by VCTE,None,None,Yes,Yes,< one week,LSM@50Hz probe M,32.0,50.0,No,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No,None,None
Reiberger 2012,2012,PUB,26589978,"<p>""Data on TE measurements were collected prospectively from patients with chronic liver disease managed by the hepatic hemodynamic laboratory of the Medical University of Vienna. Exclusion criteria were presence of pre and posthepatic causes of portal hypertension, elevated aminotransferases &gt;10× upper limit of normal, average daily alcohol intake &gt;50 g within the last 2 months, and active bacterial infections. Data of portal pressure were recorded, if HVPG was measured simultaneously. No vasoactive drugs were allowed.""</p><p>""695 patients were included in the analysis. Among those 695 patients, 502 patients underwent measurement of HVPG (HVPG-cohort), since portal hypertension was suspected by laboratory parameters or radiologic imaging.""</p>","<p>""Data on TE measurements were collected prospectively from patients with chronic liver disease managed by the hepatic hemodynamic laboratory of the Medical University of Vienna.""</p><p>""Among 794 patients undergoing measurement of liver stiffness within the study period, 67 measurements (8 %) showed unreliable results of TE mainly due to obesity or ascites. Twenty patients (3 %) were excluded due to pre or posthepatic causes of portal hypertension and levels of aminotransferases were &gt;10× upper limit of normal in 12 (2 %) patients. Thus, 695 patients were included in the analysis. Among those 695 patients, 502 patients underwent measurement of HVPG (HVPG-cohort), since portal hypertension was suspected by laboratory parameters or radiologic imaging.""</p>",<p>LSM by VCTE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Liver samples were obtained by transjugular or percutaneous liver biopsy mostly on the same day but at least within 3 days of transient elastography and of HVPG measurement by standard techniques.""</p><p>""695 patients were included in the analysis. Among those 695 patients, 502 patients underwent measurement of HVPG (HVPG-cohort), since portal hypertension was suspected by laboratory parameters or radiologic imaging.""</p>",,<p>The authors do not have conflicts of interest to disclose.</p>,2012.0,Europe,Full-text,Prospective,Non-randomized,695.0,502.0,No exclusion criteria met,,,No data,,,,,,,,,,,55.0,,No data,LSM by VCTE,None,None,No data,No data,< one week,Non-specified,,,No data on viral aetiology prevalence,Yes,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
Roselli 2017,2017,PUB,26589980,"<p>""70 patients with CLD attending the Royal Free Hospital who underwent HVPG measurements for clinical purposes were enrolled in the study. The population was heterogeneous in terms of age (59 ± 11), gender (M 78%, F 22%) and aetiology (HCV 17.1%, HBV 8.6%, NASH 31.4%, ALD 5.7%, Other 37.2%).""</p>","<p>""70 patients with CLD attending the Royal Free Hospital who underwent HVPG measurements for clinical purposes were enrolled in the study. The population was heterogeneous in terms of age (59 ± 11), gender (M 78%, F 22%) and aetiology (HCV 17.1%, HBV 8.6%, NASH 31.4%, ALD 5.7%, Other 37.2%).""&nbsp;</p>",<p>SSM by pSWE. The cut-off value was not pre-specified. There is no data on blinding of the investigators of the results of index test and reference standard.</p>,"<p>Target condition: CSPH, reference standard: HVPG. There is no data on blinding of the investigators of the results of index test and reference standard.</p>","<p>""Elastography was measured with ElastPQ (Affiniti 70 G Philips Healthcare) just before the hemodynamic assessment.""</p>",,<p>No data on authors conflicts of interest or funding.</p>,2017.0,Europe,Abstract,Retrospective,Non-randomized,70.0,70.0,No data,59.0,78.0,No data,,17.1,8.6,5.7,31.4,,,,,,37.1,,No data,SSM by pSWE,None,None,No data,No data,< one week,Not VCTE,,,No,No,No SPH analysis,No data on Child Pugh classification,No SSM analysis,No SSM analysis,No data,None,None
